points,country,
80,Argentina,153
80,Australia,9
80,Chile,80
80,France,19
80,Italy,9
80,New Zealand,12
80,Other,37
80,Portugal,12
80,Spain,149
80,US,418
81,Argentina,224
81,Australia,43
81,Austria,1
81,Chile,135
81,France,65
81,Italy,41
81,New Zealand,18
81,Other,84
81,Portugal,12
81,Spain,191
81,US,688
82,Argentina,307
82,Australia,106
82,Austria,14
82,Chile,237
82,France,206
82,Italy,121
82,New Zealand,40
82,Other,207
82,Portugal,59
82,Spain,370
82,US,2374
83,Argentina,595
83,Australia,182
83,Austria,25
83,Chile,448
83,France,392
83,Italy,356
83,New Zealand,73
83,Other,290
83,Portugal,146
83,Spain,627
83,US,2914
84,Argentina,636
84,Australia,337
84,Austria,47
84,Chile,617
84,France,1125
84,Italy,824
84,New Zealand,203
84,Other,611
84,Portugal,393
84,Spain,831
84,US,5084
85,Argentina,671
85,Australia,393
85,Austria,125
85,Chile,730
85,France,1415
85,Italy,1519
85,New Zealand,307
85,Other,671
85,Portugal,513
85,Spain,886
85,US,5181
86,Argentina,678
86,Australia,537
86,Austria,193
86,Chile,859
86,France,1769
86,Italy,2655
86,New Zealand,451
86,Other,947
86,Portugal,568
86,Spain,980
86,US,5936
87,Argentina,700
87,Australia,636
87,Austria,314
87,Chile,822
87,France,2272
87,Italy,4400
87,New Zealand,556
87,Other,1137
87,Portugal,583
87,Spain,1119
87,US,8208
88,Argentina,523
88,Australia,601
88,Austria,446
88,Chile,697
88,France,2592
88,Italy,3432
88,New Zealand,444
88,Other,927
88,Portugal,704
88,Spain,966
88,US,6539
89,Argentina,348
89,Australia,594
89,Austria,469
89,Chile,475
89,France,2064
89,Italy,2176
89,New Zealand,421
89,Other,861
89,Portugal,570
89,Spain,653
89,US,4290
90,Argentina,304
90,Australia,626
90,Austria,537
90,Chile,325
90,France,2625
90,Italy,2743
90,New Zealand,453
90,Other,847
90,Portugal,646
90,Spain,529
90,US,6338
91,Argentina,200
91,Australia,365
91,Austria,306
91,Chile,221
91,France,1936
91,Italy,1826
91,New Zealand,195
91,Other,438
91,Portugal,471
91,Spain,410
91,US,4168
92,Argentina,163
92,Australia,259
92,Austria,232
92,Chile,108
92,France,1590
92,Italy,1531
92,New Zealand,112
92,Other,266
92,Portugal,321
92,Spain,260
92,US,4399
93,Argentina,77
93,Australia,140
93,Austria,186
93,Chile,54
93,France,1327
93,Italy,941
93,New Zealand,32
93,Other,131
93,Portugal,180
93,Spain,147
93,US,2802
94,Argentina,32
94,Australia,47
94,Austria,101
94,Chile,7
94,France,812
94,Italy,503
94,New Zealand,3
94,Other,78
94,Portugal,92
94,Spain,63
94,US,1724
95,Argentina,10
95,Australia,40
95,Austria,38
95,Chile,1
95,France,481
95,Italy,234
95,Other,30
95,Portugal,34
95,Spain,50
95,US,798
96,Argentina,7
96,Australia,14
96,Austria,17
96,France,226
96,Italy,64
96,Other,15
96,Portugal,12
96,Spain,24
96,US,316
97,Argentina,3
97,Australia,14
97,Austria,5
97,France,117
97,Italy,57
97,Other,9
97,Portugal,5
97,Spain,11
97,US,144
98,Australia,11
98,Austria,1
98,France,44
98,Italy,23
98,Spain,2
98,US,50
99,France,17
99,Italy,16
99,Portugal,1
99,US,16
100,Australia,3
100,France,4
100,Italy,7
100,US,10
