points,US,Spain,France,Italy,New Zealand,Argentina,Australia,Portugal,Chile,Austria,Other
100,10,0,4,7,0,0,3,0,0,0,0
99,16,0,17,16,0,0,0,1,0,0,0
98,50,2,44,23,0,0,11,0,0,1,0
97,144,11,117,57,0,3,14,5,0,5,9
96,316,24,226,64,0,7,14,12,0,17,15
95,798,50,481,234,0,10,40,34,1,38,30
94,1724,63,812,503,3,32,47,92,7,101,78
93,2802,147,1327,941,32,77,140,180,54,186,131
92,4399,260,1590,1531,112,163,259,321,108,232,266
91,4168,410,1936,1826,195,200,365,471,221,306,438
90,6338,529,2625,2743,453,304,626,646,325,537,847
89,4290,653,2064,2176,421,348,594,570,475,469,861
88,6539,966,2592,3432,444,523,601,704,697,446,927
87,8208,1119,2272,4400,556,700,636,583,822,314,1137
86,5936,980,1769,2655,451,678,537,568,859,193,947
85,5181,886,1415,1519,307,671,393,513,730,125,671
84,5084,831,1125,824,203,636,337,393,617,47,611
83,2914,627,392,356,73,595,182,146,448,25,290
82,2374,370,206,121,40,307,106,59,237,14,207
81,688,191,65,41,18,224,43,12,135,1,84
80,418,149,19,9,12,153,9,12,80,0,37
