,variety
Chardonnay,14482
Pinot Noir,14291
Cabernet Sauvignon,12800
Red Blend,10062
Bordeaux-style Red Blend,7347
Sauvignon Blanc,6320
Syrah,5825
Riesling,5524
Merlot,5070
Zinfandel,3799
Sangiovese,3345
Malbec,3208
White Blend,2824
Rosé,2817
Tempranillo,2556
Nebbiolo,2241
Portuguese Red,2216
Sparkling Blend,2004
Shiraz,1970
"Corvina, Rondinella, Molinara",1682
Rhône-style Red Blend,1505
Pinot Gris,1365
Barbera,1365
Cabernet Franc,1363
Sangiovese Grosso,1346
Pinot Grigio,1305
Viognier,1263
Bordeaux-style White Blend,1261
Champagne Blend,1238
Port,1058
Grüner Veltliner,1042
Gewürztraminer,982
Portuguese White,941
Petite Sirah,897
Carmenère,761
Tempranillo Blend,756
Chenin Blanc,746
Glera,622
Grenache,603
Prosecco,594
Albariño,537
Gamay,535
Pinot Blanc,470
Nero d'Avola,458
Moscato,430
Rhône-style White Blend,409
Garganega,402
Garnacha,401
Torrontés,367
Dolcetto,358
Montepulciano,329
Meritage,317
Aglianico,317
Verdejo,316
Cabernet Blend,305
Primitivo,273
Sauvignon,261
Cabernet Sauvignon-Merlot,243
Vermentino,232
Blaufränkisch,227
Tinta de Toro,221
Zweigelt,219
Sémillon,216
Petit Verdot,206
Pinotage,200
Roussanne,182
Touriga Nacional,180
Mourvèdre,174
Muscat,168
Bonarda,152
G-S-M,151
Cabernet Sauvignon-Syrah,151
Grillo,150
Monastrell,150
Fiano,149
Mencía,148
Tannat,140
Friulano,137
Pinot Nero,133
Marsanne,128
Pinot Bianco,126
Agiorgitiko,120
Sagrantino,113
Fumé Blanc,110
Viura,110
Malbec-Merlot,109
Sherry,103
Godello,103
St. Laurent,102
Melon,99
Prugnolo Gentile,99
Shiraz-Cabernet Sauvignon,97
Greco,95
Shiraz-Viognier,91
Falanghina,86
Semillon-Sauvignon Blanc,85
Tempranillo-Cabernet Sauvignon,85
Cabernet Sauvignon-Shiraz,84
Cortese,82
Merlot-Cabernet Sauvignon,82
Tinto del Pais,82
Negroamaro,82
Grenache Blanc,78
Alvarinho,77
Nerello Mascalese,76
Tinto Fino,75
